,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
4476,OK,LOGAN,1,2012,7224608.399999999
4477,OK,LOGAN,2,2012,321969047.044925
4478,OK,LOGAN,3,2012,298496595.458875
4479,OK,LOGAN,4,2012,286564485.625
4480,OK,LOGAN,5,2012,387431944.826625
4481,OK,LOGAN,6,2012,281108903.075
4482,OK,LOGAN,7,2012,326161463.10999995
4483,OK,LOGAN,8,2012,364198316.5875
4484,OK,LOGAN,9,2012,290831152.28749996
4485,OK,LOGAN,10,2012,687415617.9
4486,OK,LOGAN,11,2012,655967707.1999999
4487,OK,LOGAN,12,2012,524318104.24999994
4488,OK,LOGAN,1,2013,7789225.0
4489,OK,LOGAN,2,2013,258929843.9125
4490,OK,LOGAN,3,2013,284984163.84000003
4491,OK,LOGAN,4,2013,337836574.07500005
4492,OK,LOGAN,5,2013,320914649.57
4493,OK,LOGAN,6,2013,282190987.5675
4494,OK,LOGAN,7,2013,381506641.27500004
4495,OK,LOGAN,8,2013,320491335.7125
4496,OK,LOGAN,9,2013,256469456.87499997
4497,OK,LOGAN,10,2013,558362289.0825
4498,OK,LOGAN,11,2013,396206767.845
4499,OK,LOGAN,12,2013,600172699.9125
4500,OK,LOGAN,1,2014,5535535.949999999
4501,OK,LOGAN,2,2014,219682140.625
4502,OK,LOGAN,3,2014,256449447.26520002
4503,OK,LOGAN,4,2014,284147562.465
4504,OK,LOGAN,5,2014,257518918.47499996
4505,OK,LOGAN,6,2014,249396236.4075
4506,OK,LOGAN,7,2014,279489692.5575
4507,OK,LOGAN,8,2014,261025419.375
4508,OK,LOGAN,9,2014,266884683.1475
4509,OK,LOGAN,10,2014,452632079.95
4510,OK,LOGAN,11,2014,339405979.07250005
4511,OK,LOGAN,12,2014,543966094.8000001
4512,OK,LOVE,1,2006,249263.5
4513,OK,LOVE,2,2006,5054459.399999999
4514,OK,LOVE,3,2006,3454888.0
4515,OK,LOVE,4,2006,3323722.5
4516,OK,LOVE,5,2006,4104946.395
4517,OK,LOVE,6,2006,3995304.8999999994
4518,OK,LOVE,7,2006,3398093.2125
4519,OK,LOVE,8,2006,5585111.35
4520,OK,LOVE,9,2006,4016535.675
4521,OK,LOVE,10,2006,13033648.6
4522,OK,LOVE,11,2006,6375445.2
4523,OK,LOVE,12,2006,4949695.35
4524,OK,LOVE,1,2007,99491.625
4525,OK,LOVE,2,2007,3106356.9325
4526,OK,LOVE,3,2007,7475948.837499999
4527,OK,LOVE,4,2007,4765882.100000001
4528,OK,LOVE,5,2007,4897632.47
4529,OK,LOVE,6,2007,6276637.8
4530,OK,LOVE,7,2007,3223799.0800000005
4531,OK,LOVE,8,2007,6480611.54
4532,OK,LOVE,9,2007,4026967.0024999995
4533,OK,LOVE,10,2007,11565684.8775
4534,OK,LOVE,11,2007,9736149.509999998
4535,OK,LOVE,12,2007,10544995.995
4536,OK,LOVE,1,2008,14791.700000000003
4537,OK,LOVE,2,2008,2681395.9949999996
4538,OK,LOVE,3,2008,6576604.0625
4539,OK,LOVE,4,2008,8864479.979999999
4540,OK,LOVE,5,2008,8117213.580000001
4541,OK,LOVE,6,2008,7098530.659999999
4542,OK,LOVE,7,2008,6069443.2
