,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
155,McMullen County,843,819,795,801,735,789,765,773,736,699,711,697,730,760,799,828,806,765,731,743,both
156,Madison County,12967,13680,12797,12989,13146,13136,13264,13353,13340,13483,13739,13753,13746,13820,13871,13968,14120,14251,14363,14284,both
157,Marion County,10950,11077,11032,11120,11004,10980,10992,10951,10748,10669,10485,10475,10374,10277,10149,10136,10125,10057,9915,9854,both
158,Martin County,4720,4697,4654,4553,4398,4447,4443,4494,4558,4710,4809,4884,4980,5272,5462,5646,5616,5531,5681,5771,both
159,Mason County,3734,3743,3725,3762,3811,3813,3862,3897,3876,3982,4010,4033,4056,4120,4095,4057,4161,4179,4259,4274,both
160,Matagorda County,37873,37804,37662,37695,37388,37132,36743,36452,36708,36579,36709,36681,36544,36500,36478,36766,37088,36805,36566,36643,both
161,Maverick County,47343,47594,48408,49123,49627,50140,50951,51367,52190,53434,54432,55260,55765,56532,57115,57720,58041,58111,58276,58722,both
162,Medina County,39484,40053,40707,41549,42363,42977,43936,44577,45131,45605,46114,46507,46796,47238,47830,48402,49254,50183,50862,51584,both
163,Menard County,2342,2321,2340,2311,2265,2212,2199,2176,2217,2227,2230,2214,2204,2137,2128,2134,2091,2110,2120,2138,both
164,Midland County,115560,116180,117717,119164,120746,122516,125844,128954,132502,136238,136974,140224,147332,152356,156725,162328,163850,165318,172505,176832,both
165,Milam County,24290,24445,24981,24917,25136,25017,25082,24946,25065,24864,24681,24607,24114,24090,24143,24362,24680,24939,25045,24823,both
166,Mills County,5107,4983,4973,4885,4880,4957,4854,4871,4876,4877,4968,4883,4832,4872,4872,4889,4884,4917,4883,4873,both
167,Mitchell County,9628,9576,9420,9366,9280,9322,9279,9339,9285,9399,9412,9396,9329,8999,9070,8856,8474,8215,8525,8545,both
168,Montague County,19166,19196,19170,19388,19444,19551,19781,19822,19882,19768,19718,19759,19477,19387,19365,19252,19390,19399,19584,19818,both
169,Montgomery County,297296,311437,326466,341499,357607,372541,392497,411416,429818,445836,459208,471415,484565,498392,517146,535753,555216,571615,589770,607391,both
170,Moore County,20121,20281,20155,20223,20389,20312,20558,20469,20917,21575,22005,22070,22430,22146,21986,21725,21641,21604,21083,20940,both
171,Morris County,13027,13179,13170,13139,12983,13012,13168,13251,13092,12954,12919,12770,12703,12680,12606,12370,12429,12375,12303,12388,both
172,Motley County,1435,1340,1311,1319,1270,1257,1236,1228,1197,1200,1205,1200,1197,1192,1149,1146,1170,1226,1232,1200,both
173,Nacogdoches County,59224,59541,59422,59816,60427,60939,61750,62274,62957,64012,64685,65655,65866,65193,65240,65462,65549,65317,65161,65204,both
174,Navarro County,45202,45577,45937,46078,46545,46854,47338,47272,47408,47584,47869,48074,48163,48036,47913,48181,48405,48739,49536,50113,both
175,Newton County,15038,15023,14945,14938,14560,14625,14349,14335,14393,14446,14448,14563,14434,14341,14292,14158,14160,13908,13751,13595,both
176,Nolan County,15947,15503,15194,15148,15013,14745,14740,14750,15093,15128,15244,15143,14932,15068,15126,15111,15044,14854,14799,14714,both
177,Nueces County,313673,313670,316256,317632,321879,325515,329113,330512,333526,338220,340245,343263,347939,352946,356657,360504,361642,361235,362026,362294,both
178,Ochiltree County,8988,9134,9106,8981,9149,9384,9557,9812,9962,10225,10171,10444,10612,10704,10715,10698,10257,9996,9866,9836,both
179,Oldham County,2186,2132,2069,2072,2039,2010,2010,1992,2004,2040,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,both
180,Orange County,84930,84108,83813,83553,83580,83500,81687,82255,82612,81586,82012,82341,82887,82811,83244,83955,84549,84971,83474,83396,both
181,Palo Pinto County,27074,27128,27144,27294,27276,27511,27859,27679,27916,28071,28095,28062,27867,27886,28041,27966,28125,28544,28874,29189,both
182,Panola County,22764,22773,22953,23021,22892,23140,23456,23351,23537,23678,23772,24007,24001,23790,23750,23667,23419,23211,23142,23194,both
183,Parker County,89159,91660,94092,97041,99320,101891,105387,109408,112911,115802,117316,118320,119482,119785,122147,125640,128967,133501,138070,142878,both
184,Parmer County,9991,9842,10032,10155,10168,10099,10035,10075,9994,10082,10265,10276,10184,9986,9952,9794,9762,9710,9719,9605,both
185,Pecos County,16667,16284,16084,15709,15554,15385,15403,15321,15251,15490,15523,15643,15568,15660,15828,16030,15881,15634,15709,15823,both
186,Polk County,41539,42945,43928,44779,45315,45472,45495,45727,45794,45537,45446,45580,45510,45522,45813,46613,47656,48990,49955,51353,both
187,Potter County,113762,114307,115427,117067,117682,118771,119780,119537,119740,120118,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,both
188,Presidio County,7355,7409,7534,7583,7561,7719,7638,7712,7683,7593,7875,7754,7619,7386,7194,7057,7156,7100,6856,6704,both
189,Rains County,9196,9664,9985,10290,10446,10589,10830,10994,11022,10956,10913,11003,10939,11033,11013,11136,11304,11730,12147,12514,both
190,Randall County,104609,105399,106286,107607,109441,111113,112464,114782,116518,119084,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,both
191,Reagan County,3290,3230,3189,3130,3161,3143,3160,3260,3339,3377,3353,3393,3477,3633,3785,3807,3726,3712,3736,3849,both
192,Real County,3067,3020,3020,3123,3138,3154,3264,3308,3241,3274,3322,3431,3352,3318,3347,3297,3399,3417,3477,3452,both
193,Red River County,14297,14156,13914,13703,13584,13444,13237,13072,12922,12835,12874,12682,12723,12487,12445,12345,12179,12164,12143,12023,both
194,Reeves County,13115,13022,13017,12910,12721,12675,12747,13039,13211,13550,13834,14098,14265,14494,15124,15574,15229,15166,15513,15976,both
195,Refugio County,7827,7765,7665,7563,7630,7601,7548,7414,7430,7410,7375,7321,7256,7279,7362,7326,7272,7180,7000,6948,both
196,Roberts County,884,880,862,825,841,855,849,887,904,929,924,926,942,919,914,910,910,941,898,854,both
197,Robertson County,16062,16132,16053,16074,16260,16509,16581,16546,16535,16604,16555,16657,16455,16431,16468,16698,16804,17153,17219,17074,both
