,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
48,Osceola County,174146,181694.0,190844.0,202687.0,216541.0,228026.0,242081.0,253722.0,261746.0,265267.0,FL,269837,278636.0,288876.0,299238.0,311046.0,323736.0,338209.0,353623.0,368456.0,375751.0,both
49,Palm Beach County,1135787,1160474.0,1191340.0,1218100.0,1252223.0,1278380.0,1284489.0,1286586.0,1294938.0,1307371.0,FL,1323619,1336760.0,1354936.0,1376462.0,1398656.0,1424256.0,1450890.0,1470344.0,1482876.0,1496770.0,both
50,Pasco County,347038,357653.0,369665.0,383238.0,401648.0,421844.0,439529.0,453579.0,461313.0,462607.0,FL,465487,466464.0,469637.0,474352.0,483399.0,494895.0,509937.0,525141.0,539090.0,553947.0,both
51,Pinellas County,922150,923850.0,925102.0,926266.0,928305.0,929426.0,924182.0,918624.0,916458.0,915330.0,FL,916412,918455.0,921642.0,928414.0,936400.0,947060.0,959874.0,968341.0,973058.0,974996.0,both
52,Polk County,485515,492917.0,501469.0,513058.0,527685.0,547373.0,568324.0,585982.0,594801.0,598683.0,FL,603102,609948.0,615453.0,622633.0,634398.0,648523.0,665823.0,685368.0,706597.0,724777.0,both
53,Putnam County,70433,70585.0,71386.0,71853.0,72831.0,73792.0,74663.0,75107.0,74999.0,74546.0,FL,74220,73652.0,72927.0,72370.0,71971.0,71939.0,72373.0,73384.0,74043.0,74521.0,both
54,St. Johns County,124522,129805.0,135770.0,142165.0,151717.0,160266.0,168480.0,175318.0,181720.0,186281.0,FL,191249,196106.0,202066.0,209439.0,217836.0,226362.0,234828.0,243693.0,253814.0,264672.0,both
55,St. Lucie County,193518,198459.0,205796.0,214924.0,228548.0,241965.0,255251.0,266860.0,273151.0,274344.0,FL,278264,280416.0,282931.0,285299.0,290045.0,297282.0,305566.0,313163.0,320425.0,328297.0,both
56,Santa Rosa County,118360,121261.0,127438.0,131463.0,137241.0,141132.0,142983.0,146158.0,148538.0,149544.0,FL,152908,155738.0,158190.0,160392.0,162668.0,166226.0,169894.0,174049.0,179295.0,184313.0,both
57,Sarasota County,327165,333707.0,340590.0,347862.0,357751.0,367912.0,371361.0,375325.0,377178.0,377262.0,FL,379930,382226.0,386437.0,389941.0,396363.0,404761.0,412968.0,419680.0,426329.0,433742.0,both
58,Seminole County,367378,374593.0,382846.0,388141.0,395230.0,406840.0,413218.0,413571.0,416564.0,419788.0,FL,423051,426334.0,430537.0,435503.0,441399.0,448318.0,455945.0,462801.0,468122.0,471826.0,both
59,Sumter County,53738,55793.0,59539.0,61934.0,64456.0,69261.0,76202.0,82101.0,86433.0,90643.0,FL,94278,97975.0,101669.0,106898.0,112236.0,117076.0,122009.0,124995.0,128719.0,132420.0,both
60,Suwannee County,35071,35679.0,36186.0,36812.0,37597.0,38687.0,39533.0,40309.0,40774.0,41263.0,FL,42328,43368.0,43534.0,43588.0,43786.0,43677.0,43834.0,44124.0,44179.0,44417.0,both
61,Taylor County,19233,19379.0,19465.0,20011.0,20093.0,20515.0,20793.0,21805.0,22356.0,22482.0,FL,22595,22662.0,22758.0,22873.0,22584.0,22355.0,22099.0,21781.0,21545.0,21569.0,both
62,Union County,13450,13598.0,13662.0,13787.0,14470.0,14856.0,14873.0,15419.0,15718.0,15340.0,FL,15542,15302.0,15255.0,15160.0,15258.0,15265.0,15238.0,15448.0,15328.0,15237.0,both
63,Volusia County,444935,451103.0,458248.0,466074.0,476845.0,486297.0,494748.0,498935.0,497366.0,494688.0,FL,494440,494464.0,496535.0,500438.0,506715.0,516730.0,528453.0,537868.0,546101.0,553284.0,both
64,Wakulla County,22924,23779.0,24458.0,25062.0,25832.0,26706.0,27785.0,28588.0,29183.0,30459.0,FL,30825,30973.0,30859.0,31004.0,31416.0,31523.0,31882.0,32050.0,32413.0,33739.0,both
65,Walton County,40755,42391.0,43935.0,45578.0,47518.0,49392.0,51145.0,52355.0,53563.0,54534.0,FL,55217,55602.0,57190.0,59193.0,61186.0,63066.0,65421.0,68021.0,70732.0,74071.0,both
66,Washington County,21023,21316.0,21287.0,21537.0,21967.0,22216.0,22860.0,23469.0,24706.0,24693.0,FL,24720,24510.0,24741.0,24504.0,24299.0,24552.0,24454.0,24546.0,24793.0,25473.0,both
67,Anderson County,55062,54263.0,54740.0,56068.0,56245.0,56873.0,57386.0,57870.0,57963.0,58410.0,TX,58493,58394.0,58059.0,57960.0,57829.0,57639.0,57526.0,58175.0,57974.0,57735.0,both
68,Andrews County,12949,12856.0,13022.0,12976.0,13006.0,13016.0,13195.0,13513.0,14099.0,14601.0,TX,14849,15386.0,16105.0,16779.0,17435.0,18072.0,17791.0,17603.0,18011.0,18705.0,both
69,Angelina County,80270,80273.0,80803.0,81510.0,82070.0,82553.0,83810.0,84518.0,84961.0,86029.0,TX,86905,87297.0,87509.0,87312.0,87567.0,87829.0,87682.0,87572.0,86810.0,86715.0,both
70,Aransas County,22452,22287.0,22616.0,22843.0,23067.0,23561.0,23395.0,23172.0,23225.0,23291.0,TX,23181,23216.0,23459.0,23889.0,24566.0,24800.0,25162.0,25392.0,23446.0,23510.0,both
71,Archer County,8966,8849.0,8942.0,9013.0,9078.0,9068.0,9063.0,9026.0,9104.0,9023.0,TX,9118,8840.0,8816.0,8801.0,8844.0,8763.0,8781.0,8783.0,8700.0,8553.0,both
72,Armstrong County,2166,2128.0,2036.0,2001.0,2023.0,2037.0,1989.0,1936.0,1936.0,1911.0,TX,1902,1936.0,1953.0,1940.0,1913.0,1901.0,1843.0,1867.0,1879.0,1887.0,both
73,Atascosa County,38805,39828.0,40767.0,41306.0,42109.0,42495.0,43059.0,43611.0,43947.0,44623.0,TX,44965,45504.0,46438.0,47021.0,47715.0,48363.0,48720.0,49083.0,50322.0,51153.0,both
74,Austin County,23836,24341.0,24818.0,25388.0,25976.0,26331.0,26828.0,27454.0,27935.0,28254.0,TX,28363,28604.0,28562.0,28679.0,28968.0,29471.0,29629.0,29722.0,29965.0,30032.0,both
75,Bailey County,6596,6636.0,6637.0,6791.0,6945.0,7024.0,7001.0,6927.0,6979.0,7050.0,TX,7154,7175.0,7139.0,7124.0,6966.0,7223.0,7196.0,7066.0,7015.0,7000.0,both
76,Bandera County,17755,18125.0,18652.0,19044.0,19226.0,19428.0,19775.0,20254.0,20407.0,20365.0,TX,20559,20541.0,20591.0,20557.0,20813.0,21144.0,21701.0,22327.0,22792.0,23112.0,both
77,Bastrop County,58234,61106.0,63508.0,65825.0,67122.0,68233.0,69720.0,71348.0,72389.0,73587.0,TX,74371,75055.0,74749.0,75814.0,77737.0,80115.0,82591.0,84585.0,86595.0,88723.0,both
78,Baylor County,4135,3930.0,3897.0,3941.0,3955.0,3877.0,3870.0,3905.0,3747.0,3726.0,TX,3708,3695.0,3590.0,3577.0,3566.0,3609.0,3638.0,3555.0,3573.0,3509.0,both
79,Bee County,32200,31695.0,31804.0,32620.0,32352.0,32101.0,31977.0,31936.0,31814.0,31864.0,TX,31864,32318.0,32480.0,32810.0,32841.0,32617.0,32812.0,32592.0,32467.0,32565.0,both
80,Bell County,239890,244299.0,249671.0,252922.0,258138.0,266017.0,273771.0,287752.0,297873.0,301050.0,TX,312849,315799.0,324963.0,327028.0,330149.0,336076.0,341094.0,347377.0,355397.0,362924.0,both
81,Bexar County,1398834,1419020.0,1446755.0,1469623.0,1500919.0,1529270.0,1573935.0,1615210.0,1651709.0,1685628.0,TX,1722838,1755361.0,1788738.0,1821328.0,1858003.0,1894834.0,1927651.0,1956988.0,1981187.0,2003554.0,both
82,Blanco County,8495,8776.0,8950.0,9096.0,9337.0,9554.0,9686.0,9835.0,10061.0,10315.0,TX,10498,10567.0,10616.0,10636.0,10805.0,11029.0,11301.0,11481.0,11648.0,11931.0,both
83,Borden County,715,677.0,685.0,666.0,671.0,638.0,634.0,597.0,612.0,618.0,TX,646,632.0,613.0,646.0,665.0,655.0,657.0,670.0,647.0,654.0,both
84,Bosque County,17218,17338.0,17474.0,17647.0,17871.0,17990.0,18046.0,18077.0,17939.0,18004.0,TX,18269,18259.0,18126.0,17863.0,17716.0,17864.0,18009.0,18295.0,18629.0,18685.0,both
85,Bowie County,89156,88942.0,88813.0,88839.0,89055.0,89239.0,90235.0,90456.0,91349.0,92231.0,TX,92638,92808.0,93030.0,93374.0,93268.0,93050.0,93424.0,93458.0,93688.0,93245.0,both
86,Brazoria County,243116,248280.0,255246.0,261269.0,268051.0,274336.0,284248.0,293296.0,301336.0,309236.0,TX,314428,319147.0,324224.0,329890.0,337570.0,345227.0,353155.0,361853.0,368887.0,374264.0,both
87,Brazos County,153145,155533.0,159297.0,163279.0,166150.0,169824.0,175433.0,179472.0,185098.0,191434.0,TX,195666,197450.0,200260.0,204116.0,208975.0,216258.0,219739.0,223917.0,225781.0,229211.0,both
88,Brewster County,8903,8836.0,8945.0,9030.0,9002.0,8830.0,8790.0,8843.0,8868.0,9054.0,TX,9258,9349.0,9259.0,9287.0,9150.0,9143.0,9211.0,9325.0,9272.0,9203.0,both
89,Briscoe County,1796,1764.0,1746.0,1763.0,1768.0,1726.0,1704.0,1647.0,1651.0,1634.0,TX,1633,1659.0,1576.0,1562.0,1552.0,1514.0,1483.0,1514.0,1512.0,1546.0,both
90,Brooks County,7944,7669.0,7668.0,7627.0,7593.0,7562.0,7490.0,7413.0,7345.0,7297.0,TX,7208,7216.0,7196.0,7259.0,7228.0,7190.0,7190.0,7132.0,7099.0,7093.0,both
91,Brown County,37689,37599.0,37766.0,37654.0,37940.0,38172.0,38492.0,38221.0,38135.0,38001.0,TX,38076,38000.0,37808.0,37671.0,37553.0,37736.0,38039.0,37815.0,37820.0,37864.0,both
92,Burleson County,16553,16650.0,16666.0,16881.0,16964.0,17167.0,17000.0,16982.0,17025.0,17076.0,TX,17237,17328.0,17433.0,17269.0,17387.0,17611.0,17848.0,18053.0,18335.0,18443.0,both
93,Burnet County,34505,35741.0,36850.0,37776.0,38966.0,39798.0,41109.0,42026.0,42477.0,42611.0,TX,42762,43216.0,43377.0,43580.0,43954.0,44734.0,45817.0,46600.0,47344.0,48155.0,both
94,Caldwell County,32378,33654.0,34715.0,35330.0,36200.0,36388.0,36533.0,36906.0,37671.0,37829.0,TX,38127,38470.0,38682.0,39201.0,39703.0,40419.0,41147.0,42328.0,43161.0,43664.0,both
95,Calhoun County,20676,20762.0,20550.0,20575.0,20692.0,20715.0,20839.0,20888.0,21127.0,21388.0,TX,21313,21359.0,21575.0,21729.0,21812.0,21887.0,21948.0,21712.0,21504.0,21290.0,both
96,Callahan County,12885,12703.0,12799.0,12913.0,13156.0,13281.0,13309.0,13418.0,13474.0,13548.0,TX,13512,13511.0,13488.0,13502.0,13505.0,13589.0,13789.0,13968.0,13990.0,13943.0,both
97,Cameron County,336123,342368.0,350194.0,358492.0,366299.0,373429.0,380169.0,386306.0,393000.0,400303.0,TX,407630,413201.0,415877.0,417357.0,419005.0,419450.0,421350.0,422227.0,422139.0,423163.0,both
98,Camp County,11568,11399.0,11549.0,11582.0,11715.0,11990.0,12068.0,12253.0,12331.0,12364.0,TX,12398,12422.0,12487.0,12462.0,12657.0,12699.0,12771.0,12845.0,12983.0,13094.0,both
99,Carson County,6492,6385.0,6508.0,6391.0,6381.0,6449.0,6413.0,6361.0,6260.0,6220.0,TX,6162,6238.0,6089.0,5988.0,6036.0,6013.0,6096.0,6005.0,6007.0,5926.0,both
100,Cass County,30412,30134.0,30120.0,30065.0,30053.0,30088.0,30095.0,30176.0,30217.0,30297.0,TX,30457,30281.0,30031.0,30237.0,30123.0,30140.0,30058.0,29966.0,30106.0,30026.0,both
101,Castro County,8229,8155.0,8083.0,8037.0,7947.0,7908.0,7780.0,7737.0,7758.0,7856.0,TX,8126,8094.0,8262.0,8120.0,7927.0,7787.0,7765.0,7696.0,7588.0,7530.0,both
102,Chambers County,26188,26811.0,27490.0,28021.0,28749.0,29388.0,29980.0,30714.0,31619.0,34230.0,TX,35456,35699.0,36508.0,37367.0,38296.0,39028.0,40163.0,41269.0,42227.0,43837.0,both
