,BUYER_STATE,BUYER_COUNTY,YEAR,MME
259,CO,KIOWA,2014,206394398.525
260,CO,KIT CARSON,2006,87179446.2
261,CO,KIT CARSON,2007,158721826.42499998
262,CO,KIT CARSON,2008,203524416.63750002
263,CO,KIT CARSON,2009,269458691.125
264,CO,KIT CARSON,2010,297918945.0
265,CO,KIT CARSON,2011,253017751.25
266,CO,KIT CARSON,2012,289835686.7
267,CO,KIT CARSON,2013,207676628.6625
268,CO,KIT CARSON,2014,214110630.6
269,CO,LA PLATA,2006,29829283298.6631
270,CO,LA PLATA,2007,34125698861.2319
271,CO,LA PLATA,2008,32027053500.581253
272,CO,LA PLATA,2009,32035827184.749302
273,CO,LA PLATA,2010,32563374638.516575
274,CO,LA PLATA,2011,41740402740.207504
275,CO,LA PLATA,2012,49111452877.1427
276,CO,LA PLATA,2013,40572128434.2
277,CO,LA PLATA,2014,36011112292.759995
278,CO,LAKE,2006,681137407.3499999
279,CO,LAKE,2007,1011559796.8125
280,CO,LAKE,2008,863177694.75
281,CO,LAKE,2009,766741880.5978
282,CO,LAKE,2010,1072525726.5
283,CO,LAKE,2011,1830666499.2
284,CO,LAKE,2012,1753186300.1874998
285,CO,LAKE,2013,1345429165.5
286,CO,LAKE,2014,1380071234.5
287,CO,LARIMER,2006,1622453184665.043
288,CO,LARIMER,2007,2151086102808.578
289,CO,LARIMER,2008,2589269449578.26
290,CO,LARIMER,2009,2831254531769.9907
291,CO,LARIMER,2010,3284072586634.772
292,CO,LARIMER,2011,3675257460299.3296
293,CO,LARIMER,2012,3921683525303.6143
294,CO,LARIMER,2013,3687452548112.573
295,CO,LARIMER,2014,3541348572127.564
296,CO,LAS ANIMAS,2006,15353897341.060501
297,CO,LAS ANIMAS,2007,11024455160.084538
298,CO,LAS ANIMAS,2008,15457892209.336264
299,CO,LAS ANIMAS,2009,14677586612.7625
300,CO,LAS ANIMAS,2010,17401740140.3625
301,CO,LAS ANIMAS,2011,17659994486.14
302,CO,LAS ANIMAS,2012,21128031595.77
303,CO,LAS ANIMAS,2013,23785989154.2
304,CO,LAS ANIMAS,2014,27225269700.145
305,CO,LINCOLN,2006,394052753.92
306,CO,LINCOLN,2007,533051737.66087496
307,CO,LINCOLN,2008,879059736.2999998
308,CO,LINCOLN,2009,1217287047.2250001
309,CO,LINCOLN,2010,1596421249.6750002
310,CO,LINCOLN,2011,1418539383.95
311,CO,LINCOLN,2012,1917084946.0500002
312,CO,LINCOLN,2013,2015137828.2
313,CO,LINCOLN,2014,1295679723.0
314,CO,LOGAN,2006,6836271911.6805
315,CO,LOGAN,2007,8784781721.958351
316,CO,LOGAN,2008,7036624627.687799
317,CO,LOGAN,2009,8671128531.4641
318,CO,LOGAN,2010,9181273080.408625
319,CO,LOGAN,2011,10239237818.15575
320,CO,LOGAN,2012,13491757522.162502
321,CO,LOGAN,2013,13550798556.087215
322,CO,LOGAN,2014,15068530577.752815
323,CO,MESA,2006,392112667244.0821
324,CO,MESA,2007,523124898911.5978
325,CO,MESA,2008,588801944339.9521
326,CO,MESA,2009,611166996302.9166
327,CO,MESA,2010,635413697667.5243
328,CO,MESA,2011,705323241484.8287
329,CO,MESA,2012,776022872083.3484
330,CO,MESA,2013,671180622154.614
331,CO,MESA,2014,590235227518.9868
332,CO,MINERAL,2010,302.70000000000005
333,CO,MOFFAT,2006,2881580698.8509626
334,CO,MOFFAT,2007,4455829342.374325
335,CO,MOFFAT,2008,5046135225.847501
336,CO,MOFFAT,2009,8201618575.924999
337,CO,MOFFAT,2010,10705832390.5
338,CO,MOFFAT,2011,13041698392.096199
339,CO,MOFFAT,2012,13398399052.1227
340,CO,MOFFAT,2013,9758670698.768139
341,CO,MOFFAT,2014,9362211421.587374
342,CO,MONTEZUMA,2006,12911864934.695513
343,CO,MONTEZUMA,2007,18255787241.9328
344,CO,MONTEZUMA,2008,23026522517.0658
345,CO,MONTEZUMA,2009,21614887692.3
346,CO,MONTEZUMA,2010,26044743376.705627
347,CO,MONTEZUMA,2011,26390494042.61156
348,CO,MONTEZUMA,2012,30789649347.323402
349,CO,MONTEZUMA,2013,28207696352.9712
350,CO,MONTEZUMA,2014,25236343372.591484
351,CO,MONTROSE,2006,19339235309.59015
352,CO,MONTROSE,2007,33546249942.679314
353,CO,MONTROSE,2008,35569201364.8329
354,CO,MONTROSE,2009,41881790238.8746
355,CO,MONTROSE,2010,44158606096.39324
356,CO,MONTROSE,2011,51534099584.387
357,CO,MONTROSE,2012,55614470316.53205
358,CO,MONTROSE,2013,53036140239.65419
359,CO,MONTROSE,2014,45070734830.5461
360,CO,MORGAN,2006,9549986222.575998
361,CO,MORGAN,2007,10456058602.0275
362,CO,MORGAN,2008,13210443492.15
363,CO,MORGAN,2009,14346504079.875
364,CO,MORGAN,2010,16320043364.9277
365,CO,MORGAN,2011,21253260680.6184
366,CO,MORGAN,2012,23443191994.70655
367,CO,MORGAN,2013,20827968461.127712
368,CO,MORGAN,2014,23858378859.63896
369,CO,OTERO,2006,16006326773.619751
370,CO,OTERO,2007,19188863590.042023
371,CO,OTERO,2008,24617431013.704754
372,CO,OTERO,2009,29419280394.28702
373,CO,OTERO,2010,47345865270.89318
374,CO,OTERO,2011,62937430292.27587
375,CO,OTERO,2012,73886152925.39137
376,CO,OTERO,2013,41883955466.93573
377,CO,OTERO,2014,33171310644.6645
378,CO,OURAY,2006,312460574.62950003
379,CO,OURAY,2007,278665222.95000005
380,CO,OURAY,2008,239812136.325
381,CO,OURAY,2009,273454584.375
382,CO,OURAY,2010,307411292.6
383,CO,OURAY,2011,498592654.0
384,CO,OURAY,2012,584811980.0500001
385,CO,OURAY,2013,667255195.9375001
386,CO,OURAY,2014,675873230.5699999
387,CO,PARK,2006,477759330.625
388,CO,PARK,2007,506952609.475
389,CO,PARK,2008,371121939.73749995
390,CO,PARK,2009,339509028.0
391,CO,PARK,2010,530713481.8022499
392,CO,PARK,2011,662835494.3055125
393,CO,PARK,2012,636474444.0
394,CO,PARK,2013,496878562.2
395,CO,PARK,2014,173301818.908875
396,CO,PHILLIPS,2006,92173986.1875
397,CO,PHILLIPS,2007,77226510.625
398,CO,PHILLIPS,2008,85421144.39999999
399,CO,PHILLIPS,2009,117635909.21249999
400,CO,PHILLIPS,2010,114297375.5
401,CO,PHILLIPS,2011,212073977.925
402,CO,PHILLIPS,2012,151837061.35
403,CO,PHILLIPS,2013,471667782.25
404,CO,PHILLIPS,2014,389760869.0124999
405,CO,PITKIN,2006,1097686683.7611752
406,CO,PITKIN,2007,1068604603.64855
407,CO,PITKIN,2008,1159017060.573725
408,CO,PITKIN,2009,1275866379.4909
409,CO,PITKIN,2010,885814235.39
410,CO,PITKIN,2011,1211364847.2843375
411,CO,PITKIN,2012,1442980360.7542624
412,CO,PITKIN,2013,1413100275.931575
413,CO,PITKIN,2014,1418108790.9820373
414,CO,PROWERS,2006,4115457190.4449997
415,CO,PROWERS,2007,4142171723.0175
416,CO,PROWERS,2008,5022470619.25
417,CO,PROWERS,2009,6168227154.075
418,CO,PROWERS,2010,7942634000.5125
419,CO,PROWERS,2011,9769499897.324999
420,CO,PROWERS,2012,11253809456.840002
421,CO,PROWERS,2013,6872584956.09
422,CO,PROWERS,2014,5925866188.275001
423,CO,PUEBLO,2006,1065566440345.4015
424,CO,PUEBLO,2007,1509215526982.7942
425,CO,PUEBLO,2008,2126560130997.264
426,CO,PUEBLO,2009,2637534566124.658
427,CO,PUEBLO,2010,3407828480834.0615
428,CO,PUEBLO,2011,4331173950515.985
429,CO,PUEBLO,2012,4866785666955.47
430,CO,PUEBLO,2013,3186522166753.038
431,CO,PUEBLO,2014,2312049899022.212
432,CO,RIO BLANCO,2006,219951999.48749998
433,CO,RIO BLANCO,2007,273005219.99249995
434,CO,RIO BLANCO,2008,298537888.57500005
435,CO,RIO BLANCO,2009,83856298.4375
436,CO,RIO BLANCO,2010,403520306.12500006
437,CO,RIO BLANCO,2011,678699310.5
438,CO,RIO BLANCO,2012,1308548127.796675
439,CO,RIO BLANCO,2013,1098683053.4875
440,CO,RIO BLANCO,2014,417456313.75
441,CO,RIO GRANDE,2006,1908903054.366
442,CO,RIO GRANDE,2007,706155993.6
443,CO,RIO GRANDE,2008,1056221963.66
444,CO,RIO GRANDE,2009,1695225191.275
445,CO,RIO GRANDE,2010,2116028504.0
446,CO,RIO GRANDE,2011,3710147404.12525
447,CO,RIO GRANDE,2012,7642563767.020749
448,CO,RIO GRANDE,2013,8019868274.1875
449,CO,RIO GRANDE,2014,6933336778.0925
450,CO,ROUTT,2006,11719080112.5555
451,CO,ROUTT,2007,15128777352.717001
452,CO,ROUTT,2008,14133509889.248323
453,CO,ROUTT,2009,14112368069.960125
454,CO,ROUTT,2010,16422762726.06495
455,CO,ROUTT,2011,18165203983.49865
456,CO,ROUTT,2012,18687343779.73174
457,CO,ROUTT,2013,15408902180.701574
458,CO,ROUTT,2014,13709311770.286425
459,CO,SAGUACHE,2006,10897.2
460,CO,SAGUACHE,2007,302.70000000000005
461,CO,SAGUACHE,2008,302.70000000000005
462,CO,SAGUACHE,2009,59934.600000000006
463,CO,SAGUACHE,2010,14529.600000000002
464,CO,SAGUACHE,2011,3027.0
465,CO,SAGUACHE,2012,10897.2
466,CO,SAGUACHE,2013,49945.5
467,CO,SAGUACHE,2014,3632.4000000000005
468,CO,SAN JUAN,2006,242.16
469,CO,SAN MIGUEL,2006,198156045.78750002
470,CO,SAN MIGUEL,2007,202123405.825
471,CO,SAN MIGUEL,2008,230274079.7375
472,CO,SAN MIGUEL,2009,180448617.05
473,CO,SAN MIGUEL,2010,264080666.78455
474,CO,SAN MIGUEL,2011,246031150.28750002
475,CO,SAN MIGUEL,2012,254466160.2
476,CO,SAN MIGUEL,2013,309428494.73685
477,CO,SAN MIGUEL,2014,285977115.6
478,CO,SEDGWICK,2006,109390424.92500001
479,CO,SEDGWICK,2007,123882056.10000001
480,CO,SEDGWICK,2008,160501815.45000002
