,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
167,WA,ASOTIN,12,2010,753769458.75
168,WA,ASOTIN,1,2011,8317904.0
169,WA,ASOTIN,2,2011,403279280.35
170,WA,ASOTIN,3,2011,552333239.5500001
171,WA,ASOTIN,4,2011,389846263.66249996
172,WA,ASOTIN,5,2011,532833012.65250003
173,WA,ASOTIN,6,2011,486177092.36249995
174,WA,ASOTIN,7,2011,508484896.1499999
175,WA,ASOTIN,8,2011,471639909.0375
176,WA,ASOTIN,9,2011,527414494.725
177,WA,ASOTIN,10,2011,825054964.525
178,WA,ASOTIN,11,2011,801782767.4999999
179,WA,ASOTIN,12,2011,761548673.1750001
180,WA,ASOTIN,1,2012,6207210.75
181,WA,ASOTIN,2,2012,442824455.1
182,WA,ASOTIN,3,2012,504555298.875
183,WA,ASOTIN,4,2012,384876863.0
184,WA,ASOTIN,5,2012,511024734.0
185,WA,ASOTIN,6,2012,475642595.32500005
186,WA,ASOTIN,7,2012,418174833.12249994
187,WA,ASOTIN,8,2012,477344149.42499995
188,WA,ASOTIN,9,2012,407270060.09999996
189,WA,ASOTIN,10,2012,911843989.4999999
190,WA,ASOTIN,11,2012,918521265.675
191,WA,ASOTIN,12,2012,784848003.3224999
192,WA,ASOTIN,1,2013,12362815.625
193,WA,ASOTIN,2,2013,375714070.7
194,WA,ASOTIN,3,2013,516417857.67
195,WA,ASOTIN,4,2013,476450352.21999997
196,WA,ASOTIN,5,2013,636106210.97625
197,WA,ASOTIN,6,2013,460670990.30750006
198,WA,ASOTIN,7,2013,512005932.085
199,WA,ASOTIN,8,2013,634089297.8249999
200,WA,ASOTIN,9,2013,497009670.0
201,WA,ASOTIN,10,2013,968711600.64
202,WA,ASOTIN,11,2013,716954455.75
203,WA,ASOTIN,12,2013,852586118.5375
204,WA,ASOTIN,1,2014,3165795.0375
205,WA,ASOTIN,2,2014,331037752.5
206,WA,ASOTIN,3,2014,584253708.3000001
207,WA,ASOTIN,4,2014,481069558.8625
208,WA,ASOTIN,5,2014,431313663.85
209,WA,ASOTIN,6,2014,483178797.4
210,WA,ASOTIN,7,2014,495749488.68750006
211,WA,ASOTIN,8,2014,476351519.0525
212,WA,ASOTIN,9,2014,473079260.8625
213,WA,ASOTIN,10,2014,540803229.3675001
214,WA,ASOTIN,11,2014,618510934.89
215,WA,ASOTIN,12,2014,612177258.5625
216,WA,BENTON,1,2006,86649201.13749999
217,WA,BENTON,2,2006,3831072016.7850003
218,WA,BENTON,3,2006,5397220093.217501
219,WA,BENTON,4,2006,4104624655.8205
220,WA,BENTON,5,2006,4802462331.786
221,WA,BENTON,6,2006,5068852994.96
222,WA,BENTON,7,2006,4841637009.5
223,WA,BENTON,8,2006,5983217436.909
224,WA,BENTON,9,2006,4226177863.05
225,WA,BENTON,10,2006,6656952861.299999
226,WA,BENTON,11,2006,7532691953.7699995
227,WA,BENTON,12,2006,6459163348.0
228,WA,BENTON,1,2007,91743089.39999999
229,WA,BENTON,2,2007,3056783075.7530003
230,WA,BENTON,3,2007,3961733919.545
231,WA,BENTON,4,2007,4015986476.8515
232,WA,BENTON,5,2007,4756820067.349999
233,WA,BENTON,6,2007,4973076512.712
234,WA,BENTON,7,2007,4792401573.9894
235,WA,BENTON,8,2007,4701045754.087
236,WA,BENTON,9,2007,3996234867.2400002
237,WA,BENTON,10,2007,8657065421.416887
238,WA,BENTON,11,2007,7556162106.141001
239,WA,BENTON,12,2007,8099603874.148462
240,WA,BENTON,1,2008,45458453.5785
241,WA,BENTON,2,2008,4341111191.470862
242,WA,BENTON,3,2008,4708731821.487801
243,WA,BENTON,4,2008,5335607117.433613
244,WA,BENTON,5,2008,5237429872.627349
245,WA,BENTON,6,2008,4458500311.456412
246,WA,BENTON,7,2008,6893748189.739125
247,WA,BENTON,8,2008,5505361308.477338
